,ISO_1,LangName_1,ISO_2,LangName_2,Similarity,Robustness
3243,bel,Belarusian,lao,Lao,0.593,Medium
3250,bel,Belarusian,lit,Lithuanian,2.902,High
3256,bel,Belarusian,lug,Ganda,0.396,Medium
3257,bel,Belarusian,luo,Luo,0.564,Medium
3261,bel,Belarusian,mal,Malayalam,0.541,High
3262,bel,Belarusian,mar,Marathi,0.724,Medium
3268,bel,Belarusian,mkd,Macedonian,8.612,Medium
3269,bel,Belarusian,mlt,Maltese,2.318,Medium
3270,bel,Belarusian,mni,Manipuri,0.384,Medium
3276,bel,Belarusian,mya,Burmese,0.594,Medium
3285,bel,Belarusian,nld,Dutch,2.511,High
3287,bel,Belarusian,nno,Norwegian Nynorsk,2.832,Medium
3288,bel,Belarusian,nob,Norwegian Bokmål,2.407,High
3295,bel,Belarusian,pan,Panjabi,0.923,High
3301,bel,Belarusian,pol,Polish,4.845,High
3302,bel,Belarusian,por,Portuguese,2.618,High
3307,bel,Belarusian,ron,Romanian,2.154,High
3310,bel,Belarusian,rus,Russian,7.692,High
3320,bel,Belarusian,slk,Slovak,5.474,High
3321,bel,Belarusian,slv,Slovenian,4.253,High
3324,bel,Belarusian,snd,Sindhi,0.339,Low
3325,bel,Belarusian,som,Somali,0.321,Low
3327,bel,Belarusian,spa,Spanish,1.872,High
3334,bel,Belarusian,swe,Swedish,2.626,High
3336,bel,Belarusian,tam,Tamil,0.314,High
3338,bel,Belarusian,tel,Telugu,0.414,High
3340,bel,Belarusian,tgk,Tajik,3.179,Medium
3341,bel,Belarusian,tgl,Tagalog,1.746,Medium
3342,bel,Belarusian,tha,Thai,0.435,High
3349,bel,Belarusian,tur,Turkish,2.034,High
3353,bel,Belarusian,ukr,Ukrainian,17.088,High
3354,bel,Belarusian,urd,Urdu,1.011,High
3358,bel,Belarusian,vie,Vietnamese,0.597,High
3368,bel,Belarusian,yor,Yoruba,0.346,Medium
3371,bel,Belarusian,zsm,Standard Malay,0.905,High
3372,bel,Belarusian,zul,Zulu,0.595,Medium
3378,ben,Bengali,bul,Bulgarian,0.694,High
3380,ben,Bengali,cat,Catalan,0.901,High
3382,ben,Bengali,ceb,Cebuano,0.816,Medium
3383,ben,Bengali,ces,Czech,0.771,High
3391,ben,Bengali,ckb,Central Kurdish,0.206,Medium
3392,ben,Bengali,cmn,Mandarin Chinese,0.048,High
3398,ben,Bengali,cym,Welsh,0.732,High
3399,ben,Bengali,dan,Danish,1.112,High
3400,ben,Bengali,deu,German,0.967,High
3404,ben,Bengali,ell,Modern Greek,0.598,High
3405,ben,Bengali,eng,English,1.025,High
